[    1112ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ http://127.0.0.1:4173/node_modules/.vite/deps/chunk-HCIN4FJ4.js?v=e1bfa154:21606
[  708356ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  712541ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  714806ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  717931ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  720464ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  725391ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  729982ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  735977ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  738805ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  743854ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  749731ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  754569ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  756682ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  759379ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  764680ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  768987ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
[  772196ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:4173/' failed: Connection closed before receiving a handshake response @ http://127.0.0.1:4173/@vite/client:1034
